show_id,show_name,channel,genre,language,air_date,city,city_tier,ratings_million,week_number,source
SH_001,Anupama,Star Plus,Drama,Hindi,2024-01-08,Mumbai,Tier 1,5.3,1,BARC
SH_001,Anupama,Star Plus,Drama,Hindi,2024-01-08,Delhi,Tier 1,0.69,1,BARC
SH_001,Anupama,Star Plus,Drama,Hindi,2024-01-08,Chennai,Tier 1,2.56,1,BARC
SH_001,Anupama,Star Plus,Drama,Hindi,2024-01-08,Bangalore,Tier 1,,1,BARC
SH_001,Anupama,Star Plus,Drama,Hindi,2024-01-08,Hyderabad,Tier 2,2.97,1,BARC
SH_002,Big Boss,Colors TV,Reality Show,Hindi,2024-01-08,Mumbai,Tier 1,5.58,1,BARC
SH_002,Big Boss,Colors TV,Reality Show,Hindi,2024-01-08,Delhi,Tier 1,7.19,1,BARC
SH_002,Big Boss,Colors TV,Reality Show,Hindi,2024-01-08,Chennai,Tier 1,,1,BARC
SH_002,Big Boss,Colors TV,Reality Show,Hindi,2024-01-08,Bangalore,Tier 1,3.66,1,BARC
SH_002,Big Boss,Colors TV,Reality Show,Hindi,2024-01-08,Hyderabad,Tier 2,0.22,1,BARC
SH_003,KBC,Sony LIV,Reality Show,Hindi,2024-01-08,Mumbai,Tier 1,2.14,1,BARC
SH_003,KBC,Sony LIV,Reality Show,Hindi,2024-01-08,Delhi,Tier 1,4.29,1,BARC
SH_003,KBC,Sony LIV,Reality Show,Hindi,2024-01-08,Chennai,Tier 1,0.7,1,BARC
SH_003,KBC,Sony LIV,Reality Show,Hindi,2024-01-08,Bangalore,Tier 1,,1,BARC
SH_003,KBC,Sony LIV,Reality Show,Hindi,2024-01-08,Hyderabad,Tier 2,-1.0,1,BARC
SH_004,Tarak Mehta,Sony LIV,Comedy,Hindi,2024-01-08,Mumbai,Tier 1,4.59,1,BARC
SH_004,Tarak Mehta,Sony LIV,Comedy,Hindi,2024-01-08,Delhi,Tier 1,2.15,1,BARC
SH_004,Tarak Mehta,Sony LIV,Comedy,Hindi,2024-01-08,Chennai,Tier 1,4.92,1,BARC
SH_004,Tarak Mehta,Sony LIV,Comedy,Hindi,2024-01-08,Bangalore,Tier 1,6.57,1,BARC
SH_004,Tarak Mehta,Sony LIV,Comedy,Hindi,2024-01-08,Hyderabad,Tier 2,0.13,1,BARC
SH_005,Nayagi,SUN TV,Drama,Tamil,2024-01-08,Mumbai,Tier 1,6.54,1,BARC
SH_005,Nayagi,SUN TV,Drama,Tamil,2024-01-08,Delhi,Tier 1,5.74,1,BARC
SH_005,Nayagi,SUN TV,Drama,Tamil,2024-01-08,Chennai,Tier 1,3.05,1,BARC
SH_005,Nayagi,SUN TV,Drama,Tamil,2024-01-08,Bangalore,Tier 1,1.67,1,BARC
SH_005,Nayagi,SUN TV,Drama,Tamil,2024-01-08,Hyderabad,Tier 2,3.83,1,BARC
SH_001,Anupama,Star Plus,Drama,Hindi,2024-01-15,Mumbai,Tier 1,3.02,2,BARC
SH_001,Anupama,Star Plus,Drama,Hindi,2024-01-15,Delhi,Tier 1,1.2,2,BARC
SH_001,Anupama,Star Plus,Drama,Hindi,2024-01-15,Chennai,Tier 1,1.23,2,BARC
SH_001,Anupama,Star Plus,Drama,Hindi,2024-01-15,Bangalore,Tier 1,6.86,2,BARC
SH_001,Anupama,Star Plus,Drama,Hindi,2024-01-15,Hyderabad,Tier 2,,2,BARC
SH_002,Big Boss,Colors TV,Reality Show,Hindi,2024-01-15,Mumbai,Tier 1,6.55,2,BARC
SH_002,Big Boss,Colors TV,Reality Show,Hindi,2024-01-15,Delhi,Tier 1,5.97,2,BARC
SH_002,Big Boss,Colors TV,Reality Show,Hindi,2024-01-15,Chennai,Tier 1,4.52,2,BARC
SH_002,Big Boss,Colors TV,Reality Show,Hindi,2024-01-15,Bangalore,Tier 1,-1.0,2,BARC
SH_002,Big Boss,Colors TV,Reality Show,Hindi,2024-01-15,Hyderabad,Tier 2,-1.0,2,BARC
SH_003,KBC,Sony LIV,Reality Show,Hindi,2024-01-15,Mumbai,Tier 1,,2,BARC
SH_003,KBC,Sony LIV,Reality Show,Hindi,2024-01-15,Delhi,Tier 1,6.72,2,BARC
SH_003,KBC,Sony LIV,Reality Show,Hindi,2024-01-15,Chennai,Tier 1,5.14,2,BARC
SH_003,KBC,Sony LIV,Reality Show,Hindi,2024-01-15,Bangalore,Tier 1,6.96,2,BARC
SH_003,KBC,Sony LIV,Reality Show,Hindi,2024-01-15,Hyderabad,Tier 2,2.35,2,BARC
SH_004,Tarak Mehta,Sony LIV,Comedy,Hindi,2024-01-15,Mumbai,Tier 1,5.78,2,BARC
SH_004,Tarak Mehta,Sony LIV,Comedy,Hindi,2024-01-15,Delhi,Tier 1,0.84,2,BARC
SH_004,Tarak Mehta,Sony LIV,Comedy,Hindi,2024-01-15,Chennai,Tier 1,2.21,2,BARC
SH_004,Tarak Mehta,Sony LIV,Comedy,Hindi,2024-01-15,Bangalore,Tier 1,2.67,2,BARC
SH_004,Tarak Mehta,Sony LIV,Comedy,Hindi,2024-01-15,Hyderabad,Tier 2,0.41,2,BARC
SH_005,Nayagi,SUN TV,Drama,Tamil,2024-01-15,Mumbai,Tier 1,-1.0,2,BARC
SH_005,Nayagi,SUN TV,Drama,Tamil,2024-01-15,Delhi,Tier 1,1.26,2,BARC
SH_005,Nayagi,SUN TV,Drama,Tamil,2024-01-15,Chennai,Tier 1,2.58,2,BARC
SH_005,Nayagi,SUN TV,Drama,Tamil,2024-01-15,Bangalore,Tier 1,5.27,2,BARC
SH_005,Nayagi,SUN TV,Drama,Tamil,2024-01-15,Hyderabad,Tier 2,1.52,2,BARC
SH_001,Anupama,Star Plus,Drama,Hindi,2024-01-22,Mumbai,Tier 1,3.28,3,BARC
SH_001,Anupama,Star Plus,Drama,Hindi,2024-01-22,Delhi,Tier 1,2.07,3,BARC
SH_001,Anupama,Star Plus,Drama,Hindi,2024-01-22,Chennai,Tier 1,2.5,3,BARC
SH_001,Anupama,Star Plus,Drama,Hindi,2024-01-22,Bangalore,Tier 1,7.52,3,BARC
SH_001,Anupama,Star Plus,Drama,Hindi,2024-01-22,Hyderabad,Tier 2,2.63,3,BARC
SH_002,Big Boss,Colors TV,Reality Show,Hindi,2024-01-22,Mumbai,Tier 1,5.07,3,BARC
SH_002,Big Boss,Colors TV,Reality Show,Hindi,2024-01-22,Delhi,Tier 1,1.78,3,BARC
SH_002,Big Boss,Colors TV,Reality Show,Hindi,2024-01-22,Chennai,Tier 1,5.97,3,BARC
SH_002,Big Boss,Colors TV,Reality Show,Hindi,2024-01-22,Bangalore,Tier 1,1.73,3,BARC
SH_002,Big Boss,Colors TV,Reality Show,Hindi,2024-01-22,Hyderabad,Tier 2,1.58,3,BARC
SH_003,KBC,Sony LIV,Reality Show,Hindi,2024-01-22,Mumbai,Tier 1,7.92,3,BARC
SH_003,KBC,Sony LIV,Reality Show,Hindi,2024-01-22,Delhi,Tier 1,5.3,3,BARC
SH_003,KBC,Sony LIV,Reality Show,Hindi,2024-01-22,Chennai,Tier 1,4.68,3,BARC
SH_003,KBC,Sony LIV,Reality Show,Hindi,2024-01-22,Bangalore,Tier 1,5.63,3,BARC
SH_003,KBC,Sony LIV,Reality Show,Hindi,2024-01-22,Hyderabad,Tier 2,3.39,3,BARC
SH_004,Tarak Mehta,Sony LIV,Comedy,Hindi,2024-01-22,Mumbai,Tier 1,6.32,3,BARC
SH_004,Tarak Mehta,Sony LIV,Comedy,Hindi,2024-01-22,Delhi,Tier 1,2.22,3,BARC
SH_004,Tarak Mehta,Sony LIV,Comedy,Hindi,2024-01-22,Chennai,Tier 1,0.74,3,BARC
SH_004,Tarak Mehta,Sony LIV,Comedy,Hindi,2024-01-22,Bangalore,Tier 1,2.87,3,BARC
SH_004,Tarak Mehta,Sony LIV,Comedy,Hindi,2024-01-22,Hyderabad,Tier 2,1.14,3,BARC
SH_005,Nayagi,SUN TV,Drama,Tamil,2024-01-22,Mumbai,Tier 1,2.08,3,BARC
SH_005,Nayagi,SUN TV,Drama,Tamil,2024-01-22,Delhi,Tier 1,7.57,3,BARC
SH_005,Nayagi,SUN TV,Drama,Tamil,2024-01-22,Chennai,Tier 1,7.07,3,BARC
SH_005,Nayagi,SUN TV,Drama,Tamil,2024-01-22,Bangalore,Tier 1,2.86,3,BARC
SH_005,Nayagi,SUN TV,Drama,Tamil,2024-01-22,Hyderabad,Tier 2,,3,BARC
SH_001,Anupama,Star Plus,Drama,Hindi,2024-01-29,Mumbai,Tier 1,3.47,4,BARC
SH_001,Anupama,Star Plus,Drama,Hindi,2024-01-29,Delhi,Tier 1,7.36,4,BARC
SH_001,Anupama,Star Plus,Drama,Hindi,2024-01-29,Chennai,Tier 1,3.94,4,BARC
SH_001,Anupama,Star Plus,Drama,Hindi,2024-01-29,Bangalore,Tier 1,2.49,4,BARC
SH_001,Anupama,Star Plus,Drama,Hindi,2024-01-29,Hyderabad,Tier 2,1.06,4,BARC
SH_002,Big Boss,Colors TV,Reality Show,Hindi,2024-01-29,Mumbai,Tier 1,4.71,4,BARC
SH_002,Big Boss,Colors TV,Reality Show,Hindi,2024-01-29,Delhi,Tier 1,2.47,4,BARC
SH_002,Big Boss,Colors TV,Reality Show,Hindi,2024-01-29,Chennai,Tier 1,4.88,4,BARC
SH_002,Big Boss,Colors TV,Reality Show,Hindi,2024-01-29,Bangalore,Tier 1,7.23,4,BARC
SH_002,Big Boss,Colors TV,Reality Show,Hindi,2024-01-29,Hyderabad,Tier 2,1.66,4,BARC
SH_003,KBC,Sony LIV,Reality Show,Hindi,2024-01-29,Mumbai,Tier 1,2.14,4,BARC
SH_003,KBC,Sony LIV,Reality Show,Hindi,2024-01-29,Delhi,Tier 1,7.98,4,BARC
SH_003,KBC,Sony LIV,Reality Show,Hindi,2024-01-29,Chennai,Tier 1,4.32,4,BARC
SH_003,KBC,Sony LIV,Reality Show,Hindi,2024-01-29,Bangalore,Tier 1,1.18,4,BARC
SH_003,KBC,Sony LIV,Reality Show,Hindi,2024-01-29,Hyderabad,Tier 2,,4,BARC
SH_004,Tarak Mehta,Sony LIV,Comedy,Hindi,2024-01-29,Mumbai,Tier 1,1.32,4,BARC
SH_004,Tarak Mehta,Sony LIV,Comedy,Hindi,2024-01-29,Delhi,Tier 1,5.21,4,BARC
SH_004,Tarak Mehta,Sony LIV,Comedy,Hindi,2024-01-29,Chennai,Tier 1,6.44,4,BARC
SH_004,Tarak Mehta,Sony LIV,Comedy,Hindi,2024-01-29,Bangalore,Tier 1,3.67,4,BARC
SH_004,Tarak Mehta,Sony LIV,Comedy,Hindi,2024-01-29,Hyderabad,Tier 2,,4,BARC
SH_005,Nayagi,SUN TV,Drama,Tamil,2024-01-29,Mumbai,Tier 1,3.36,4,BARC
SH_005,Nayagi,SUN TV,Drama,Tamil,2024-01-29,Delhi,Tier 1,7.97,4,BARC
SH_005,Nayagi,SUN TV,Drama,Tamil,2024-01-29,Chennai,Tier 1,4.47,4,BARC
SH_005,Nayagi,SUN TV,Drama,Tamil,2024-01-29,Bangalore,Tier 1,7.78,4,BARC
SH_005,Nayagi,SUN TV,Drama,Tamil,2024-01-29,Hyderabad,Tier 2,3.46,4,BARC
SH_001,Anupama,Star Plus,Drama,Hindi,2024-02-05,Mumbai,Tier 1,0.59,5,BARC
SH_001,Anupama,Star Plus,Drama,Hindi,2024-02-05,Delhi,Tier 1,-1.0,5,BARC
SH_001,Anupama,Star Plus,Drama,Hindi,2024-02-05,Chennai,Tier 1,5.61,5,BARC
SH_001,Anupama,Star Plus,Drama,Hindi,2024-02-05,Bangalore,Tier 1,4.53,5,BARC
SH_001,Anupama,Star Plus,Drama,Hindi,2024-02-05,Hyderabad,Tier 2,,5,BARC
SH_002,Big Boss,Colors TV,Reality Show,Hindi,2024-02-05,Mumbai,Tier 1,5.31,5,BARC
SH_002,Big Boss,Colors TV,Reality Show,Hindi,2024-02-05,Delhi,Tier 1,1.34,5,BARC
SH_002,Big Boss,Colors TV,Reality Show,Hindi,2024-02-05,Chennai,Tier 1,3.76,5,BARC
SH_002,Big Boss,Colors TV,Reality Show,Hindi,2024-02-05,Bangalore,Tier 1,3.9,5,BARC
SH_002,Big Boss,Colors TV,Reality Show,Hindi,2024-02-05,Hyderabad,Tier 2,3.82,5,BARC
SH_003,KBC,Sony LIV,Reality Show,Hindi,2024-02-05,Mumbai,Tier 1,7.07,5,BARC
SH_003,KBC,Sony LIV,Reality Show,Hindi,2024-02-05,Delhi,Tier 1,2.48,5,BARC
SH_003,KBC,Sony LIV,Reality Show,Hindi,2024-02-05,Chennai,Tier 1,4.25,5,BARC
SH_003,KBC,Sony LIV,Reality Show,Hindi,2024-02-05,Bangalore,Tier 1,1.84,5,BARC
SH_003,KBC,Sony LIV,Reality Show,Hindi,2024-02-05,Hyderabad,Tier 2,,5,BARC
SH_004,Tarak Mehta,Sony LIV,Comedy,Hindi,2024-02-05,Mumbai,Tier 1,7.03,5,BARC
SH_004,Tarak Mehta,Sony LIV,Comedy,Hindi,2024-02-05,Delhi,Tier 1,2.74,5,BARC
SH_004,Tarak Mehta,Sony LIV,Comedy,Hindi,2024-02-05,Chennai,Tier 1,5.29,5,BARC
SH_004,Tarak Mehta,Sony LIV,Comedy,Hindi,2024-02-05,Bangalore,Tier 1,,5,BARC
SH_004,Tarak Mehta,Sony LIV,Comedy,Hindi,2024-02-05,Hyderabad,Tier 2,0.7,5,BARC
SH_005,Nayagi,SUN TV,Drama,Tamil,2024-02-05,Mumbai,Tier 1,6.22,5,BARC
SH_005,Nayagi,SUN TV,Drama,Tamil,2024-02-05,Delhi,Tier 1,4.55,5,BARC
SH_005,Nayagi,SUN TV,Drama,Tamil,2024-02-05,Chennai,Tier 1,6.34,5,BARC
SH_005,Nayagi,SUN TV,Drama,Tamil,2024-02-05,Bangalore,Tier 1,4.48,5,BARC
SH_005,Nayagi,SUN TV,Drama,Tamil,2024-02-05,Hyderabad,Tier 2,0.1,5,BARC
SH_001,Anupama,Star Plus,Drama,Hindi,2024-02-12,Mumbai,Tier 1,2.93,6,BARC
SH_001,Anupama,Star Plus,Drama,Hindi,2024-02-12,Delhi,Tier 1,0.65,6,BARC
SH_001,Anupama,Star Plus,Drama,Hindi,2024-02-12,Chennai,Tier 1,7.47,6,BARC
SH_001,Anupama,Star Plus,Drama,Hindi,2024-02-12,Bangalore,Tier 1,7.09,6,BARC
SH_001,Anupama,Star Plus,Drama,Hindi,2024-02-12,Hyderabad,Tier 2,3.34,6,BARC
SH_002,Big Boss,Colors TV,Reality Show,Hindi,2024-02-12,Mumbai,Tier 1,2.81,6,BARC
SH_002,Big Boss,Colors TV,Reality Show,Hindi,2024-02-12,Delhi,Tier 1,0.93,6,BARC
SH_002,Big Boss,Colors TV,Reality Show,Hindi,2024-02-12,Chennai,Tier 1,7.09,6,BARC
SH_002,Big Boss,Colors TV,Reality Show,Hindi,2024-02-12,Bangalore,Tier 1,,6,BARC
SH_002,Big Boss,Colors TV,Reality Show,Hindi,2024-02-12,Hyderabad,Tier 2,0.43,6,BARC
SH_003,KBC,Sony LIV,Reality Show,Hindi,2024-02-12,Mumbai,Tier 1,4.14,6,BARC
SH_003,KBC,Sony LIV,Reality Show,Hindi,2024-02-12,Delhi,Tier 1,1.02,6,BARC
SH_003,KBC,Sony LIV,Reality Show,Hindi,2024-02-12,Chennai,Tier 1,6.2,6,BARC
SH_003,KBC,Sony LIV,Reality Show,Hindi,2024-02-12,Bangalore,Tier 1,6.24,6,BARC
SH_003,KBC,Sony LIV,Reality Show,Hindi,2024-02-12,Hyderabad,Tier 2,0.6,6,BARC
