content_id,content_name,platform,mention_count,sentiment_score,trending_rank,recorded_date,source
C001,Anupamaa S1,Twitter,28431.0,-0.115,50,2024-01-01,SOCIAL
C001,Anupamaa S1,Instagram,1131.0,-0.659,3,2024-01-01,SOCIAL
C001,Anupamaa S1,YouTube,40390.0,0.147,6,2024-01-01,SOCIAL
C001,Anupamaa S1,Facebook,31775.0,0.372,22,2024-01-01,SOCIAL
C002,KBC Season 15,Twitter,13778.0,0.281,2,2024-01-01,SOCIAL
C002,KBC Season 15,Instagram,18641.0,0.891,1,2024-01-01,SOCIAL
C002,KBC Season 15,YouTube,23759.0,0.584,5,2024-01-01,SOCIAL
C002,KBC Season 15,Facebook,39967.0,0.044,50,2024-01-01,SOCIAL
C003,IPL 2024 Final,Twitter,4966.0,-0.879,22,2024-01-01,SOCIAL
C003,IPL 2024 Final,Instagram,1900.0,-0.105,21,2024-01-01,SOCIAL
C003,IPL 2024 Final,YouTube,272.0,0.055,33,2024-01-01,SOCIAL
C003,IPL 2024 Final,Facebook,21065.0,-0.672,19,2024-01-01,SOCIAL
C004,Panchayat S3,Twitter,,0.858,29,2024-01-01,SOCIAL
C004,Panchayat S3,Instagram,4181.0,99.0,32,2024-01-01,SOCIAL
C004,Panchayat S3,YouTube,33143.0,-0.499,29,2024-01-01,SOCIAL
C004,Panchayat S3,Facebook,40075.0,-0.016,47,2024-01-01,SOCIAL
C005,Mirzapur S3,Twitter,554.0,0.118,47,2024-01-01,SOCIAL
C005,Mirzapur S3,Instagram,14991.0,0.992,42,2024-01-01,SOCIAL
C005,Mirzapur S3,YouTube,29558.0,-0.215,43,2024-01-01,SOCIAL
C005,Mirzapur S3,Facebook,19375.0,0.662,22,2024-01-01,SOCIAL
C001,Anupamaa S1,Twitter,33519.0,-0.535,21,2024-01-02,SOCIAL
C001,Anupamaa S1,Instagram,47147.0,0.792,6,2024-01-02,SOCIAL
C001,Anupamaa S1,YouTube,32707.0,0.806,29,2024-01-02,SOCIAL
C001,Anupamaa S1,Facebook,,-0.091,39,2024-01-02,SOCIAL
C002,KBC Season 15,Twitter,29112.0,-0.515,47,2024-01-02,SOCIAL
C002,KBC Season 15,Instagram,9114.0,0.097,37,2024-01-02,SOCIAL
C002,KBC Season 15,YouTube,1790.0,-0.764,45,2024-01-02,SOCIAL
C002,KBC Season 15,Facebook,35957.0,0.816,9,2024-01-02,SOCIAL
C003,IPL 2024 Final,Twitter,813.0,-0.278,6,2024-01-02,SOCIAL
C003,IPL 2024 Final,Instagram,49344.0,-0.685,13,2024-01-02,SOCIAL
C003,IPL 2024 Final,YouTube,16852.0,-0.945,13,2024-01-02,SOCIAL
C003,IPL 2024 Final,Facebook,25223.0,0.068,5,2024-01-02,SOCIAL
C004,Panchayat S3,Twitter,40598.0,0.193,24,2024-01-02,SOCIAL
C004,Panchayat S3,Instagram,2031.0,-0.642,3,2024-01-02,SOCIAL
C004,Panchayat S3,YouTube,26394.0,-0.37,5,2024-01-02,SOCIAL
C004,Panchayat S3,Facebook,44298.0,-0.062,46,2024-01-02,SOCIAL
C005,Mirzapur S3,Twitter,18002.0,0.712,31,2024-01-02,SOCIAL
C005,Mirzapur S3,Instagram,5188.0,0.438,30,2024-01-02,SOCIAL
C005,Mirzapur S3,YouTube,3312.0,0.337,18,2024-01-02,SOCIAL
C005,Mirzapur S3,Facebook,35539.0,-0.297,29,2024-01-02,SOCIAL
C001,Anupamaa S1,Twitter,37241.0,-0.129,33,2024-01-03,SOCIAL
C001,Anupamaa S1,Instagram,,-0.189,13,2024-01-03,SOCIAL
C001,Anupamaa S1,YouTube,,0.315,11,2024-01-03,SOCIAL
C001,Anupamaa S1,Facebook,16786.0,0.659,29,2024-01-03,SOCIAL
C002,KBC Season 15,Twitter,,0.32,2,2024-01-03,SOCIAL
